Source,Target,Type,Id,Label,Weight
5904,2271,Directed,171,,4567
4272,934,Directed,172,,1767
1814,11750,Directed,173,,143
5777,691,Directed,174,,529
5981,691,Directed,175,,176
2928,8908,Directed,176,,2918
3056,9252,Directed,177,,3003
2928,9127,Directed,178,,2833
6004,934,Directed,179,,1036
3170,9252,Directed,180,,2960
2935,9252,Directed,181,,2985
3206,9252,Directed,182,,2893
2844,9252,Directed,183,,2987
2916,9252,Directed,184,,2996
3012,9252,Directed,185,,2968
2748,9252,Directed,186,,2984
2918,9252,Directed,187,,3005
3144,9252,Directed,188,,2871
2843,9252,Directed,189,,2965
3008,9252,Directed,190,,2990
5792,465,Directed,191,,22
5951,10379,Directed,192,,30
5772,935,Directed,193,,24
3086,9127,Directed,194,,889
5837,934,Directed,195,,1691
5856,934,Directed,196,,3758
5999,341,Directed,197,,1429
5818,651,Directed,198,,127
2930,9109,Directed,199,,3304
2930,9253,Directed,200,,3376
2930,8907,Directed,201,,3417
4107,935,Directed,202,,217
4286,12221,Directed,203,,157
4107,691,Directed,204,,286
5904,5752,Directed,205,,4411
5782,934,Directed,206,,3528
3862,10649,Directed,207,,291
2925,9127,Directed,208,,3588
5958,651,Directed,209,,77
4218,320,Directed,210,,4309
1817,11810,Directed,211,,132
1799,11781,Directed,212,,233
2925,8908,Directed,213,,3689
3134,9149,Directed,214,,209
2957,9252,Directed,215,,3026
1799,11770,Directed,216,,31
1814,11778,Directed,217,,59
5791,934,Directed,218,,1591
2930,9127,Directed,219,,2814
2930,8908,Directed,220,,2963
6007,651,Directed,221,,226
5837,651,Directed,222,,106
2925,8907,Directed,223,,3125
4250,2531,Directed,224,,6
2925,9253,Directed,225,,3125
4218,2375,Directed,226,,4383
6015,2271,Directed,227,,54
4218,412,Directed,228,,3245
4218,465,Directed,229,,4471
4218,935,Directed,230,,5864
4218,5653,Directed,231,,5151
3849,10649,Directed,232,,409
4286,934,Directed,233,,974
6007,691,Directed,234,,217
5958,934,Directed,235,,1772
2925,9109,Directed,236,,2996
4218,934,Directed,237,,4995
6015,934,Directed,238,,2015
5959,2455,Directed,239,,93
5869,934,Directed,240,,1191
4299,934,Directed,241,,2995
5836,651,Directed,242,,220
5979,2531,Directed,243,,10
5773,935,Directed,244,,69
4273,934,Directed,245,,899
4218,2282,Directed,246,,3843
4218,2455,Directed,247,,4790
5809,691,Directed,248,,1811
4218,2531,Directed,249,,4265
4218,2271,Directed,250,,4695
5773,934,Directed,251,,1582
5816,341,Directed,252,,1386
5836,934,Directed,253,,3891
4299,341,Directed,254,,224
5816,934,Directed,255,,2203
2244,11781,Directed,256,,414
2244,11762,Directed,257,,442
2244,11820,Directed,258,,374
5810,934,Directed,259,,1314
5970,934,Directed,260,,4357
4265,934,Directed,261,,1682
5944,691,Directed,262,,1126
3462,2244,Directed,263,,438
2926,9109,Directed,264,,3364
2926,9253,Directed,265,,3448
2926,8907,Directed,266,,3539
6271,2244,Directed,267,,427
5944,5653,Directed,268,,17
5790,934,Directed,269,,1534
5841,934,Directed,270,,1436
5780,651,Directed,271,,476
4254,934,Directed,272,,2218
6018,934,Directed,273,,2899
2939,9109,Directed,274,,3232
2939,9253,Directed,275,,3281
5809,934,Directed,276,,1284
4107,934,Directed,277,,1561
5944,934,Directed,278,,1856
2926,8908,Directed,279,,2921
2926,9127,Directed,280,,2815
4179,944,Directed,281,,9
5841,5653,Directed,282,,43
5904,934,Directed,283,,14526
2939,9127,Directed,284,,2744
1814,11820,Directed,285,,103
5904,9778,Directed,286,,339
6195,341,Directed,287,,6
5828,934,Directed,288,,1805
5853,651,Directed,289,,617
5991,2531,Directed,290,,8
2940,9127,Directed,291,,3202
2915,8906,Directed,292,,3497
2917,8906,Directed,293,,3384
3200,8906,Directed,294,,3315
3009,8906,Directed,295,,3372
3171,8906,Directed,296,,3391
5853,465,Directed,297,,82
5975,651,Directed,298,,242
5921,341,Directed,299,,5
2940,8908,Directed,300,,3283
4109,935,Directed,301,,56
5780,691,Directed,302,,338
4109,691,Directed,303,,395
3146,8906,Directed,304,,3234
3057,8906,Directed,305,,3393
2936,8906,Directed,306,,3414
2749,8906,Directed,307,,3404
2956,8906,Directed,308,,3395
5989,934,Directed,309,,1996
5851,934,Directed,310,,2372
2940,9109,Directed,311,,2756
4272,651,Directed,312,,140
4141,934,Directed,313,,1148
5975,934,Directed,314,,2571
4272,341,Directed,315,,181
5935,934,Directed,316,,1832
4109,934,Directed,317,,1780
3056,8906,Directed,318,,3075
2844,8906,Directed,319,,3049
2748,8906,Directed,320,,3072
3170,8906,Directed,321,,3004
3206,8906,Directed,322,,2936
2918,8906,Directed,323,,3029
3012,8906,Directed,324,,3046
2935,8906,Directed,325,,3046
2916,8906,Directed,326,,3035
2843,8906,Directed,327,,2985
822,11871,Directed,328,,6
3864,10649,Directed,329,,249
5961,934,Directed,330,,1511
6016,2455,Directed,331,,14
6016,934,Directed,332,,3110
5914,934,Directed,333,,2046
5941,934,Directed,334,,2789
5904,8797,Directed,335,,1
1809,11668,Directed,336,,1
1817,11778,Directed,337,,185
3144,8906,Directed,338,,2929
3008,8906,Directed,339,,3040
2957,8906,Directed,340,,3067
5969,934,Directed,341,,3017
5820,934,Directed,342,,1270
4265,412,Directed,343,,13
1814,11810,Directed,344,,39
5819,465,Directed,345,,12
5904,322,Directed,346,,3828
4303,934,Directed,347,,2813
5801,651,Directed,348,,303
5820,651,Directed,349,,281
5912,935,Directed,350,,5533
5976,895,Directed,351,,89
5912,320,Directed,352,,4348
5912,465,Directed,353,,4530
5821,934,Directed,354,,2238
5912,5653,Directed,355,,4696
5912,412,Directed,356,,3292
1799,11805,Directed,357,,175
6004,5653,Directed,358,,27
5906,7404,Directed,359,,63
5869,2271,Directed,360,,37
1799,11750,Directed,361,,171
4273,2455,Directed,362,,42
4273,691,Directed,363,,354
5915,12221,Directed,364,,438
4299,691,Directed,365,,633
1814,11770,Directed,366,,53
5825,2455,Directed,367,,19
1814,11777,Directed,368,,386
1799,11820,Directed,369,,94
5989,2282,Directed,370,,60
5810,2531,Directed,371,,19
5902,341,Directed,372,,215
4143,934,Directed,373,,2342
1799,11758,Directed,374,,3
5960,934,Directed,375,,1908
4145,341,Directed,376,,900
5961,651,Directed,377,,802
5961,691,Directed,378,,1000
2929,9127,Directed,379,,3187
2929,8908,Directed,380,,3299
5969,2455,Directed,381,,158
5825,691,Directed,382,,278
4303,691,Directed,383,,320
5904,320,Directed,384,,380
5973,935,Directed,385,,19
4303,5653,Directed,386,,105
5966,935,Directed,387,,74
5966,691,Directed,388,,350
5904,910,Directed,389,,4211
5933,14595,Directed,390,,49
2929,9253,Directed,391,,2915
2929,8907,Directed,392,,2927
2929,9109,Directed,393,,2807
5973,934,Directed,394,,1976
5779,341,Directed,395,,1138
4143,2282,Directed,396,,31
1814,11751,Directed,397,,74
4141,2282,Directed,398,,50
4145,934,Directed,399,,1022
5869,9813,Directed,400,,12
4253,9813,Directed,401,,21
5818,934,Directed,402,,1128
4145,412,Directed,403,,21
5836,1594,Directed,404,,12
5826,934,Directed,405,,2611
5902,651,Directed,406,,205
5994,2531,Directed,407,,72
3127,9149,Directed,408,,1
3127,9127,Directed,409,,4
5960,691,Directed,410,,302
5869,691,Directed,411,,438
6653,9790,Directed,412,,1
4339,944,Directed,413,,1
5830,2271,Directed,414,,68
5782,2455,Directed,415,,53
5943,5653,Directed,416,,47
4311,341,Directed,417,,526
3843,10649,Directed,418,,416
2939,8907,Directed,419,,3260
5801,916,Directed,420,,1
5815,691,Directed,421,,101
5774,934,Directed,422,,1917
5971,934,Directed,423,,2644
3858,10649,Directed,424,,315
1359,10379,Directed,425,,1
4321,9813,Directed,426,,33
5906,915,Directed,427,,125
7275,10472,Directed,428,,1
5855,651,Directed,429,,370
5904,7013,Directed,430,,3905
5912,11538,Directed,431,,1
4527,9338,Directed,432,,3
5960,465,Directed,433,,10
5821,935,Directed,434,,19
4321,934,Directed,435,,1982
5230,919,Directed,436,,1
6018,935,Directed,437,,35
1816,11805,Directed,438,,14
5904,7388,Directed,439,,915
5904,14506,Directed,440,,2
5904,14476,Directed,441,,10
7905,9880,Directed,442,,2
5930,341,Directed,443,,6
4177,9669,Directed,444,,1
6678,10377,Directed,445,,1
5895,7388,Directed,446,,6
5899,5653,Directed,447,,1
5946,9712,Directed,448,,2
5946,9832,Directed,449,,2
5912,3335,Directed,450,,4
5827,9813,Directed,451,,15
5906,14503,Directed,452,,2
2915,8710,Directed,453,,1
5941,693,Directed,454,,1
5853,934,Directed,455,,2434
5968,691,Directed,456,,226
5904,9512,Directed,457,,12
4286,691,Directed,458,,247
1926,11896,Directed,459,,1
5791,691,Directed,460,,188
5847,691,Directed,461,,564
5904,7404,Directed,462,,623
4113,341,Directed,463,,215
4177,915,Directed,464,,3
5791,935,Directed,465,,22
4254,2282,Directed,466,,31
5847,2282,Directed,467,,78
5912,7776,Directed,468,,4
6365,7388,Directed,469,,10
5827,5653,Directed,470,,89
7897,320,Directed,471,,4
4276,934,Directed,472,,1494
5935,9813,Directed,473,,15
4276,5653,Directed,474,,29
5780,934,Directed,475,,2749
2244,11784,Directed,476,,431
5809,341,Directed,477,,1438
5809,651,Directed,478,,1615
4300,341,Directed,479,,263
5855,934,Directed,480,,2652
1786,11762,Directed,481,,3599
4297,934,Directed,482,,2730
5828,2271,Directed,483,,8
6271,1816,Directed,484,,58
4993,8732,Directed,485,,1
5913,651,Directed,486,,1159
5777,934,Directed,487,,1808
5962,934,Directed,488,,1730
5827,934,Directed,489,,2366
2956,9176,Directed,490,,256
5780,935,Directed,491,,76
5855,691,Directed,492,,826
5834,934,Directed,493,,4089
5801,934,Directed,494,,675
4234,12220,Directed,495,,67
4321,935,Directed,496,,63
2940,9253,Directed,497,,2883
5801,2271,Directed,498,,12
2940,8907,Directed,499,,2879
5834,465,Directed,500,,99
5941,691,Directed,501,,212
5833,691,Directed,502,,3
1809,11976,Directed,503,,5
5950,944,Directed,504,,14
4717,931,Directed,505,,2
5948,9857,Directed,506,,1
1479,11353,Directed,507,,91
4214,730,Directed,508,,1
4264,691,Directed,509,,304
6093,944,Directed,510,,1
5911,1007,Directed,511,,1
520,11353,Directed,512,,423
5948,9816,Directed,513,,1
1808,11784,Directed,514,,10
5906,691,Directed,515,,329
6007,934,Directed,516,,2172
4311,651,Directed,517,,337
4250,691,Directed,518,,108
5961,341,Directed,519,,787
5856,412,Directed,520,,55
4272,691,Directed,521,,87
5925,934,Directed,522,,1
5792,2658,Directed,523,,2
5774,2271,Directed,524,,133
7276,9857,Directed,525,,2
5951,944,Directed,526,,17
5949,944,Directed,527,,105
5229,944,Directed,528,,1
7608,11896,Directed,529,,8
4177,10401,Directed,530,,1
3009,9456,Directed,531,,2
1343,691,Directed,532,,2
6365,339,Directed,533,,3
5971,651,Directed,534,,207
6271,1814,Directed,535,,1323
5904,347,Directed,536,,564
2939,8908,Directed,537,,2890
1805,11793,Directed,538,,1
5904,2376,Directed,539,,642
5912,8767,Directed,540,,3
7784,1881,Directed,541,,1
5912,335,Directed,542,,1
3129,9127,Directed,543,,59
4063,9816,Directed,544,,1
5996,934,Directed,545,,4
4311,2531,Directed,546,,82
5999,934,Directed,547,,1399
4272,935,Directed,548,,3
6385,941,Directed,549,,1
5911,5653,Directed,550,,4
8092,941,Directed,551,,1
4519,9832,Directed,552,,1
3849,1482,Directed,553,,226
1717,11851,Directed,554,,2
5912,337,Directed,555,,1
1799,11778,Directed,556,,73
5787,934,Directed,557,,4
7345,10467,Directed,558,,2
5851,935,Directed,559,,63
4209,651,Directed,560,,236
4265,944,Directed,561,,1
5935,691,Directed,562,,213
5851,341,Directed,563,,304
4716,5653,Directed,564,,2
4180,919,Directed,565,,1
5935,2282,Directed,566,,16
4109,932,Directed,567,,1
6596,924,Directed,568,,3
4180,14841,Directed,569,,1
5971,2531,Directed,570,,3
3907,944,Directed,571,,2
4390,9591,Directed,572,,1
5817,2455,Directed,573,,213
4113,412,Directed,574,,57
1799,11777,Directed,575,,171
4300,2531,Directed,576,,33
5853,691,Directed,577,,468
5943,919,Directed,578,,1
3733,341,Directed,579,,1
5314,10102,Directed,580,,1
5231,944,Directed,581,,1
5398,943,Directed,582,,3
8464,689,Directed,583,,1
1717,11796,Directed,584,,7
8403,944,Directed,585,,1
5910,14616,Directed,586,,5
5908,14616,Directed,587,,9
1817,11770,Directed,588,,167
5679,944,Directed,589,,1
5948,9791,Directed,590,,1
5949,9824,Directed,591,,2
3752,9824,Directed,592,,1
5913,935,Directed,593,,95
5911,13514,Directed,594,,242
5904,7392,Directed,595,,80
5906,7392,Directed,596,,26
5913,465,Directed,597,,749
5948,943,Directed,598,,2
5917,7392,Directed,599,,1
5915,341,Directed,600,,3
5948,9963,Directed,601,,1
7959,7392,Directed,602,,1
5838,944,Directed,603,,1
1260,9816,Directed,604,,1
5368,932,Directed,605,,2
5903,322,Directed,606,,1
5912,11013,Directed,607,,3
1320,934,Directed,608,,4
2915,9091,Directed,609,,2
4132,10838,Directed,610,,16
4151,2531,Directed,611,,125
4169,10379,Directed,612,,1
5911,8633,Directed,613,,1
5911,14857,Directed,614,,1
5775,5653,Directed,615,,23
7845,320,Directed,616,,1
5904,342,Directed,617,,6
3910,9574,Directed,618,,1
4209,9813,Directed,619,,20
6840,896,Directed,620,,2
4545,9816,Directed,621,,1
6018,9786,Directed,622,,1
8180,934,Directed,623,,1
6978,896,Directed,624,,2
1795,11762,Directed,625,,2718
4259,14723,Directed,626,,1
1809,11956,Directed,627,,1
2205,925,Directed,628,,1
1817,11751,Directed,629,,143
1814,11781,Directed,630,,193
1815,11784,Directed,631,,1199
1816,11750,Directed,632,,17
1482,11805,Directed,633,,69
1799,11829,Directed,634,,19
1813,11829,Directed,635,,5
1813,11758,Directed,636,,6
1817,11829,Directed,637,,152
1812,11829,Directed,638,,269
1814,11850,Directed,639,,72
1799,11850,Directed,640,,75
2244,11850,Directed,641,,199
1816,11850,Directed,642,,13
6271,1815,Directed,643,,30
6271,1492,Directed,644,,6
1812,11850,Directed,645,,532
1814,11829,Directed,646,,34
1814,11758,Directed,647,,35
1815,11778,Directed,648,,388
1816,11777,Directed,649,,36
1492,11777,Directed,650,,122
1488,11791,Directed,651,,2
1817,11758,Directed,652,,66
1816,11820,Directed,653,,22
2536,11791,Directed,654,,1
1705,11778,Directed,655,,12
1478,11778,Directed,656,,2
1813,11786,Directed,657,,5
1799,11786,Directed,658,,61
1812,11786,Directed,659,,303
1812,11810,Directed,660,,282
1814,11786,Directed,661,,11
1812,11749,Directed,662,,4
1688,11787,Directed,663,,3
1817,11786,Directed,664,,138
1816,11781,Directed,665,,42
1596,11762,Directed,666,,28
1598,11762,Directed,667,,32
1813,11751,Directed,668,,6
8043,11784,Directed,669,,8
1972,11846,Directed,670,,1
1801,11784,Directed,671,,6
1815,11758,Directed,672,,63
1779,11758,Directed,673,,35
1815,11810,Directed,674,,19
1737,11784,Directed,675,,6
1736,11793,Directed,676,,1
2541,11793,Directed,677,,564
1522,11794,Directed,678,,1
1485,11794,Directed,679,,2
1968,11784,Directed,680,,7
1687,11784,Directed,681,,8
1825,11784,Directed,682,,3
1810,11784,Directed,683,,16
1799,11835,Directed,684,,20
1814,11835,Directed,685,,72
1482,11820,Directed,686,,20
1815,11751,Directed,687,,62
2244,11835,Directed,688,,398
1812,11835,Directed,689,,282
1816,11835,Directed,690,,12
1618,11751,Directed,691,,1
1813,11778,Directed,692,,10
1484,11805,Directed,693,,1
1814,11805,Directed,694,,195
1693,11751,Directed,695,,3
1779,11751,Directed,696,,1
5972,1594,Directed,697,,11
2969,8935,Directed,698,,13
5933,14583,Directed,699,,510
5933,14600,Directed,700,,65
5914,10491,Directed,701,,3418
1693,11319,Directed,702,,61
5792,341,Directed,703,,184
2843,11414,Directed,704,,1197
5991,691,Directed,705,,474
4320,934,Directed,706,,624
4112,934,Directed,707,,2263
2957,8889,Directed,708,,477
2956,9175,Directed,709,,436
3134,9226,Directed,710,,672
5965,5653,Directed,711,,30
5792,691,Directed,712,,225
5941,651,Directed,713,,83
5959,651,Directed,714,,125
4278,651,Directed,715,,200
4277,934,Directed,716,,850
4292,934,Directed,717,,738
6021,934,Directed,718,,918
5991,2271,Directed,719,,174
4253,691,Directed,720,,234
6021,651,Directed,721,,288
6014,934,Directed,722,,2292
4278,934,Directed,723,,1661
5980,651,Directed,724,,152
4228,1597,Directed,725,,2727
4292,651,Directed,726,,56
4277,691,Directed,727,,390
4292,2271,Directed,728,,68
2884,9215,Directed,729,,101
4277,935,Directed,730,,82
5835,412,Directed,731,,62
5851,691,Directed,732,,513
4143,691,Directed,733,,496
5933,14598,Directed,734,,21
2847,11424,Directed,735,,204
2957,11396,Directed,736,,116
2956,9177,Directed,737,,472
2843,11413,Directed,738,,243
5848,934,Directed,739,,1079
4257,651,Directed,740,,204
4145,1594,Directed,741,,6
1809,11799,Directed,742,,5
2957,8888,Directed,743,,547
5973,10410,Directed,744,,31
2844,11420,Directed,745,,157
4120,341,Directed,746,,223
4228,934,Directed,747,,2003
4161,691,Directed,748,,331
6005,934,Directed,749,,1786
4142,934,Directed,750,,993
4289,934,Directed,751,,580
5959,341,Directed,752,,124
5958,2282,Directed,753,,5
5835,934,Directed,754,,1182
5957,935,Directed,755,,36
4254,651,Directed,756,,109
5985,341,Directed,757,,114
5857,934,Directed,758,,361
2956,8888,Directed,759,,418
5795,465,Directed,760,,12
5840,934,Directed,761,,713
6005,691,Directed,762,,256
2844,11423,Directed,763,,656
6015,5653,Directed,764,,303
5802,341,Directed,765,,220
2927,9179,Directed,766,,54
4266,691,Directed,767,,307
4294,934,Directed,768,,1105
5774,341,Directed,769,,260
2893,11339,Directed,770,,10
5980,9813,Directed,771,,29
5774,691,Directed,772,,380
4113,2282,Directed,773,,67
4283,2455,Directed,774,,6
4163,934,Directed,775,,1684
5802,934,Directed,776,,1468
4283,341,Directed,777,,69
5834,691,Directed,778,,126
5987,934,Directed,779,,891
4269,934,Directed,780,,1115
5831,341,Directed,781,,438
5831,651,Directed,782,,389
2844,11412,Directed,783,,383
5971,691,Directed,784,,422
4179,10379,Directed,785,,6
5776,691,Directed,786,,361
5834,971,Directed,787,,1
6000,934,Directed,788,,3377
1832,11778,Directed,789,,1
3134,11320,Directed,790,,230
5834,935,Directed,791,,86
5843,691,Directed,792,,35
5981,651,Directed,793,,152
4283,691,Directed,794,,171
2844,8930,Directed,795,,108
5813,934,Directed,796,,1279
5806,341,Directed,797,,157
5963,341,Directed,798,,673
2774,9252,Directed,799,,3019
5963,934,Directed,800,,1499
4160,934,Directed,801,,1025
2775,9252,Directed,802,,2845
4288,934,Directed,803,,892
2889,9206,Directed,804,,1
4308,934,Directed,805,,1016
5854,934,Directed,806,,1466
5840,651,Directed,807,,165
2927,8906,Directed,808,,208
2842,11410,Directed,809,,10
5908,5722,Directed,810,,10
2876,8889,Directed,811,,45
2774,8906,Directed,812,,3043
5891,651,Directed,813,,260
3086,9014,Directed,814,,1
5939,10500,Directed,815,,1
5006,728,Directed,816,,1
6574,685,Directed,817,,1
5809,946,Directed,818,,3
2843,11420,Directed,819,,195
4160,691,Directed,820,,165
4278,2455,Directed,821,,55
5773,341,Directed,822,,136
5773,691,Directed,823,,162
4294,651,Directed,824,,182
5858,341,Directed,825,,122
5822,651,Directed,826,,356
4122,651,Directed,827,,271
4259,9813,Directed,828,,10
2844,11419,Directed,829,,291
4273,341,Directed,830,,239
4163,691,Directed,831,,289
2775,8906,Directed,832,,2864
5801,341,Directed,833,,272
2843,11412,Directed,834,,1454
4120,934,Directed,835,,642
4257,934,Directed,836,,949
2943,11329,Directed,837,,116
4266,341,Directed,838,,216
5997,651,Directed,839,,421
4288,465,Directed,840,,12
4270,651,Directed,841,,28
4288,341,Directed,842,,134
4281,341,Directed,843,,166
4281,412,Directed,844,,69
2544,11750,Directed,845,,16
2969,11347,Directed,846,,17
2843,8930,Directed,847,,90
2843,11417,Directed,848,,832
5957,651,Directed,849,,207
5837,341,Directed,850,,126
4270,934,Directed,851,,36
4281,934,Directed,852,,1021
2843,11424,Directed,853,,513
5972,934,Directed,854,,1987
5827,691,Directed,855,,407
5094,691,Directed,856,,1
4121,934,Directed,857,,1207
5962,935,Directed,858,,64
2844,11413,Directed,859,,425
5904,7393,Directed,860,,75
2956,9178,Directed,861,,329
4294,935,Directed,862,,17
4320,341,Directed,863,,88
5987,651,Directed,864,,115
4228,691,Directed,865,,652
4142,691,Directed,866,,86
5789,934,Directed,867,,1674
5853,341,Directed,868,,636
5789,691,Directed,869,,619
5850,934,Directed,870,,2760
5850,2282,Directed,871,,40
5853,2455,Directed,872,,99
4122,412,Directed,873,,15
4306,934,Directed,874,,1268
4251,691,Directed,875,,258
4263,934,Directed,876,,1135
5832,934,Directed,877,,3198
4301,341,Directed,878,,139
4162,934,Directed,879,,1114
5961,2271,Directed,880,,37
5984,934,Directed,881,,666
6011,934,Directed,882,,473
5850,341,Directed,883,,156
5844,934,Directed,884,,1113
2884,8930,Directed,885,,59
2962,9176,Directed,886,,8
4161,5653,Directed,887,,36
2884,9168,Directed,888,,29
5986,341,Directed,889,,179
5954,934,Directed,890,,1207
5933,14606,Directed,891,,3
4112,2282,Directed,892,,67
2844,11422,Directed,893,,391
5993,691,Directed,894,,264
4164,934,Directed,895,,1237
4285,934,Directed,896,,3219
4305,651,Directed,897,,82
4285,651,Directed,898,,263
4276,341,Directed,899,,139
4276,691,Directed,900,,227
4164,651,Directed,901,,118
5953,934,Directed,902,,645
5986,934,Directed,903,,482
2844,11410,Directed,904,,359
2843,11410,Directed,905,,319
4118,934,Directed,906,,912
6000,691,Directed,907,,234
4151,341,Directed,908,,189
5891,934,Directed,909,,781
2956,9173,Directed,910,,381
5891,691,Directed,911,,214
4302,934,Directed,912,,1369
4108,934,Directed,913,,2974
4120,651,Directed,914,,225
5794,651,Directed,915,,192
5804,934,Directed,916,,821
4226,341,Directed,917,,188
5855,2455,Directed,918,,55
6000,2271,Directed,919,,165
4108,2271,Directed,920,,110
4302,2531,Directed,921,,17
4120,691,Directed,922,,194
2956,9181,Directed,923,,1
5857,651,Directed,924,,288
5857,935,Directed,925,,338
5791,341,Directed,926,,187
5831,412,Directed,927,,28
5942,934,Directed,928,,890
5790,2531,Directed,929,,29
5801,412,Directed,930,,14
5777,341,Directed,931,,899
5791,651,Directed,932,,212
2949,8865,Directed,933,,1
2859,11413,Directed,934,,74
5780,2271,Directed,935,,47
5776,651,Directed,936,,304
5986,2271,Directed,937,,49
5852,934,Directed,938,,2878
3851,10649,Directed,939,,198
5824,2375,Directed,940,,1
5986,651,Directed,941,,184
